date,demand,net_generation,total_interchange,ng_nuclear,ng_hydro,ng_solar,ng_wind,ng_natural_gas,temperature_2m,temp_max,temp_min,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,snow_depth,cloud_cover,wind_speed_10m,wind_gusts_10m,weather_code,year,NYNGSP,NYPOP,is_holiday,month,day_of_month,day_of_week,week_of_year,quarter,is_weekend,demand_lag_3d,demand_lag_4d,demand_lag_5d,demand_lag_6d,demand_lag_7d,demand_lag_14d,demand_lag_21d,demand_lag_28d,demand_roll_mean_7d,demand_roll_std_7d,demand_roll_mean_30d,demand_roll_min_30d,demand_roll_max_30d,temperature_2m_lag_1d,temperature_2m_lag_2d,apparent_temperature_lag_1d,apparent_temperature_lag_2d,relative_humidity_2m_lag_1d,relative_humidity_2m_lag_2d,dew_point_2m_lag_1d,dew_point_2m_lag_2d,target_day1,target_day2,target_day3
2015-07-29,615851.0,544685.0,-71166.0,0.0,0.0,0.0,0.0,0.0,27.375,32.7,21.1,30.02916666666667,64.70833333333333,19.3375,0.0,0.0,0.0,0.0,51.29166666666666,7.845833333333334,23.8,3.0,2015,1434606.3,19653431,0,7,29,2,31,3,0,491198.0,470820.0,492282.0,494119.0,509406.0,508429.0,541464.0,465605.0,522360.28571428574,55475.17428157778,496781.1153846154,396572.0,622939.0,26.104166666666668,23.766666666666666,29.45833333333333,26.245833333333334,71.625,78.75,19.9,19.725,596964.0,555298.0,503157.0
2015-07-30,596964.0,546050.0,-50914.0,0.0,0.0,0.0,0.0,0.0,26.15416666666667,31.2,23.4,29.870833333333334,82.58333333333333,22.775,8.9,8.9,0.0,0.0,82.375,11.395833333333334,36.7,63.0,2015,1434606.3,19653431,0,7,30,3,31,3,0,558068.0,491198.0,470820.0,492282.0,494119.0,460404.0,489296.0,462600.0,513093.0,38778.76302393699,499051.0,396572.0,622939.0,27.375,26.104166666666668,30.02916666666667,29.45833333333333,64.70833333333333,71.625,19.3375,19.9,555298.0,503157.0,487181.0
2015-07-31,555298.0,494642.0,-60656.0,0.0,0.0,0.0,0.0,0.0,25.691666666666663,30.8,20.6,27.179166666666664,61.625,16.933333333333334,0.0,0.0,0.0,0.0,25.25,9.166666666666666,27.0,3.0,2015,1434606.3,19653431,0,7,31,4,31,3,0,593878.0,558068.0,491198.0,470820.0,492282.0,468983.0,494030.0,424376.0,515681.5714285714,43922.59072450506,502437.6785714286,396572.0,622939.0,26.15416666666667,27.375,29.870833333333334,30.02916666666667,82.58333333333333,64.70833333333333,22.775,19.3375,503157.0,487181.0,561226.0
2015-08-01,503157.0,431730.0,-71427.0,0.0,0.0,0.0,0.0,0.0,25.59166666666667,30.3,21.5,25.875,55.208333333333336,15.291666666666666,0.7,0.7,0.0,0.0,22.916666666666668,11.2,35.6,51.0,2015,1434606.3,19653431,0,8,1,5,31,3,1,615851.0,593878.0,558068.0,491198.0,470820.0,485589.0,468524.0,396572.0,530888.0,57664.32633497657,506348.4827586207,396572.0,622939.0,25.691666666666663,26.15416666666667,27.179166666666664,29.870833333333334,61.625,82.58333333333333,16.933333333333334,22.775,487181.0,561226.0,555965.0
2015-08-02,487181.0,414429.0,-72752.0,0.0,0.0,0.0,0.0,0.0,24.475,29.7,18.1,25.204166666666666,56.91666666666666,14.458333333333334,0.0,0.0,0.0,0.0,20.291666666666668,7.15,21.6,3.0,2015,1434606.3,19653431,0,8,2,6,31,3,1,596964.0,615851.0,593878.0,558068.0,491198.0,547318.0,480017.0,422882.0,545580.1428571428,59797.03472700692,509369.0,396572.0,622939.0,25.59166666666667,25.691666666666663,25.875,27.179166666666664,55.208333333333336,61.625,15.291666666666666,16.933333333333334,561226.0,555965.0,522326.0
2015-08-03,561226.0,485031.0,-76195.0,0.0,0.0,0.0,0.0,0.0,26.104166666666668,31.1,20.6,26.775,57.833333333333336,16.558333333333334,0.0,0.0,0.0,0.0,24.041666666666668,12.741666666666667,35.6,3.0,2015,1434606.3,19653431,0,8,3,0,32,3,0,555298.0,596964.0,615851.0,593878.0,558068.0,622939.0,546655.0,507533.0,554582.4285714285,54985.70852460119,512358.76666666666,396572.0,622939.0,24.475,25.59166666666667,25.204166666666666,25.875,56.91666666666666,55.208333333333336,14.458333333333334,15.291666666666666,555965.0,522326.0,492040.0
2015-08-04,555965.0,475699.0,-80266.0,0.0,0.0,0.0,0.0,0.0,26.229166666666668,31.8,21.9,27.516666666666666,60.375,17.3625,1.2,1.2,0.0,0.0,37.375,10.816666666666668,43.6,55.0,2015,1434606.3,19653431,0,8,4,1,32,3,0,503157.0,555298.0,596964.0,615851.0,593878.0,575758.0,532540.0,556970.0,559202.0,47643.84541225329,513710.6666666667,396572.0,622939.0,26.104166666666668,24.475,26.775,25.204166666666666,57.833333333333336,56.91666666666666,16.558333333333334,14.458333333333334,522326.0,492040.0,489663.0
2015-08-05,522326.0,456803.0,-65523.0,0.0,0.0,0.0,0.0,0.0,25.016666666666666,30.2,19.5,25.0125,53.16666666666666,13.875,0.0,0.0,0.0,0.0,44.875,10.066666666666666,34.2,3.0,2015,1434606.3,19653431,0,8,5,2,32,3,0,487181.0,503157.0,555298.0,596964.0,615851.0,509406.0,508429.0,541464.0,558628.1428571428,48613.76909692917,515804.1666666667,396572.0,622939.0,26.229166666666668,26.104166666666668,27.516666666666666,26.775,60.375,57.833333333333336,17.3625,16.558333333333334,492040.0,489663.0,443860.0
2015-08-06,492040.0,426221.0,-65819.0,0.0,0.0,0.0,0.0,0.0,22.816666666666663,27.5,17.0,22.9,55.333333333333336,12.933333333333332,0.0,0.0,0.0,0.0,77.75,7.245833333333334,24.5,3.0,2015,1434606.3,19653431,0,8,6,3,32,3,0,561226.0,487181.0,503157.0,555298.0,596964.0,494119.0,460404.0,489296.0,559079.2857142857,48622.35711314412,521292.63333333336,422882.0,622939.0,25.016666666666666,26.229166666666668,25.0125,27.516666666666666,53.16666666666666,60.375,13.875,17.3625,489663.0,443860.0,445809.0
2015-08-07,489663.0,430466.0,-59197.0,0.0,0.0,0.0,0.0,0.0,23.254166666666663,27.4,18.7,24.09166666666667,62.958333333333336,15.204166666666666,0.0,0.0,0.0,0.0,78.875,8.054166666666667,23.8,3.0,2015,1434606.3,19653431,0,8,7,4,32,3,0,555965.0,561226.0,487181.0,503157.0,555298.0,492282.0,468983.0,494030.0,553663.1428571428,46148.68669647646,525728.7333333333,460404.0,622939.0,22.816666666666663,25.016666666666666,22.9,25.0125,55.333333333333336,53.16666666666666,12.933333333333332,13.875,443860.0,445809.0,502788.0
